"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"C1,C2,C3,C6,C7,C8,C13,C15","1uF","~","Capacitor_SMD:C_0805_2012Metric","8","","C28323"
"C4,C5","22p","~","Capacitor_SMD:C_0805_2012Metric","2","",""
"D1","VBUS","~","LED_SMD:LED_0603_1608Metric","1","","C2286"
"D2","3V3","~","LED_SMD:LED_0603_1608Metric","1","","C2286"
"D3","VCC","~","LED_SMD:LED_0603_1608Metric","1","","C2286"
"D4","RXL","~","LED_SMD:LED_0603_1608Metric","1","","C2286"
"D5","TXL","~","LED_SMD:LED_0603_1608Metric","1","","C2286"
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","1","","C2894897"
"J2","DE9_Receptacle","~","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","1","","C19077344"
"J3,J8,J9,J10,J12,J13,R3","NC","~","-- mixed values --","7","",""
"J4","RXTX","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","","C492419"
"J5","RTSCTS","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","","C492419"
"J6","DTRDSR","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","","C492419"
"J7","DCD","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","","C492419"
"J11","UART","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","",""
"R1,R2,R4,R5,R6,R7,R8,R9,R10,R11","5k1","~","Resistor_SMD:R_0805_2012Metric","10","",""
"TP1,TP2","TestPoint","~","TestPoint:TestPoint_Pad_D1.0mm","2","",""
"U1","CH340G","http://www.datasheet5.com/pdf-local-2195953","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","","C14267"
"U3","MIC5504-3.3YM5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C2832127"
"U5","SP3243EUCY","","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","1","","C916165"
"Y1","12MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","C133334"
