Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C2, C3, C6, C7, C8",0805,8,1uF,C28323
"C4, C5",0805,2,22p,
D1,0603,1,VBUS,C2286
D2,0603,1,3V3,C2286
D3,0603,1,VCC,C2286
D4,0603,1,RXL,C2286
D5,0603,1,TXL,C2286
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,HOST,C2894897
J11,PinHeader_1x06_P2.54mm_Vertical,1,FTDI_HEADER,C37208
J13,PinHeader_1x02_P2.54mm_Vertical,1,EXT_PWR,
J2,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DE9_Receptacle,C19077344
J4,PinHeader_2x02_P2.54mm_Vertical,1,RXTX,C492419
J5,PinHeader_2x02_P2.54mm_Vertical,1,RTSCTS,C492419
J6,PinHeader_2x02_P2.54mm_Vertical,1,DTRDSR,C492419
J7,PinHeader_2x02_P2.54mm_Vertical,1,DCD,C492419
"R1, R10, R11, R2, R4, R5, R6, R7, R8, R9",0805,10,5k1,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267
U3,SOT-23-5,1,MIC5504-3.3YM5,C2832127
U5,SSOP-28_5.3x10.2mm_P0.65mm,1,SP3243EUCY,C916165
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
