Designator,Mid X,Mid Y,Rotation,Layer
C1,139.446,-86.614,270.0,top
C13,172.72,-85.09,0.0,top
C15,143.764,-84.9,180.0,top
C2,137.414,-86.614,270.0,top
C3,176.53,-92.898,270.0,top
C4,156.21,-92.1004,270.0,top
C5,150.114,-92.0242,90.0,top
C6,172.72,-87.122,180.0,top
C7,172.72,-89.154,180.0,top
C8,178.816,-92.898,270.0,top
D1,124.968,-92.456,180.0,top
D2,161.036,-91.9225,90.0,top
D3,159.512,-91.9225,90.0,top
D4,146.05,-92.2275,270.0,top
D5,147.828,-92.2275,270.0,top
J1,124.392,-86.352,270.0,top
J11,166.37,-86.36,180.0,top
J13,175.80197438789307,-74.79802561210693,315.0,top
J2,197.462,-86.35,90.0,top
J4,182.372,-74.93,0.0,top
J5,189.992,-74.93,0.0,top
J6,182.372,-97.79,0.0,top
J7,189.992,-97.79,0.0,top
R1,128.6195,-80.002,0.0,top
R10,143.764,-91.948,90.0,top
R11,143.764,-88.7965,270.0,top
R2,125.2474,-80.002,0.0,top
R4,172.8045,-83.058,0.0,top
R5,138.2795,-80.01,180.0,top
R6,177.292,-79.3515,270.0,top
R7,128.4125,-92.702,0.0,top
R8,160.528,-87.2725,270.0,top
R9,162.814,-91.7975,270.0,top
U1,150.876,-86.36,0.0,top
U3,138.0998,-82.804,0.0,top
U5,181.102,-86.36,0.0,top
Y1,153.078,-92.036,0.0,top
